ParameterName, ene_min, ene_max, erec_minus_ene_min, erec_minus_ene_max
enu_erec_minus_enu_92, 0.0, 0.9184172, -2.10845139e-02, -1.81240840e-02
enu_erec_minus_enu_93, 0.0, 0.9184172, -1.81240840e-02, -1.46702491e-02
enu_erec_minus_enu_94, 0.0, 0.9184172, -1.46702491e-02, -1.12164143e-02
enu_erec_minus_enu_95, 0.0, 0.9184172, -1.12164143e-02, -7.76257938e-03
enu_erec_minus_enu_96, 0.0, 0.9184172, -7.76257938e-03, -4.30874450e-03
enu_erec_minus_enu_97, 0.0, 0.9184172, -4.30874450e-03, -8.54909624e-04
enu_erec_minus_enu_98, 0.0, 0.9184172, -8.54909624e-04, 2.59892526e-03
enu_erec_minus_enu_99, 0.0, 0.9184172, 2.59892526e-03, 6.54616512e-03
enu_erec_minus_enu_100, 0.0, 0.9184172, 6.54616512e-03, 1.00000000e-02
enu_erec_minus_enu_101, 0.9184172, 1.52906693, -1.00000000e+00, -6.82740596e-01
enu_erec_minus_enu_102, 0.9184172, 1.52906693, -6.82740596e-01, -6.05276014e-01
enu_erec_minus_enu_103, 0.9184172, 1.52906693, -6.05276014e-01, -5.55442110e-01
enu_erec_minus_enu_104, 0.9184172, 1.52906693, -5.55442110e-01, -5.17943332e-01
enu_erec_minus_enu_105, 0.9184172, 1.52906693, -5.17943332e-01, -4.87845628e-01
enu_erec_minus_enu_106, 0.9184172, 1.52906693, -4.87845628e-01, -4.62681974e-01
enu_erec_minus_enu_107, 0.9184172, 1.52906693, -4.62681974e-01, -4.41465559e-01
enu_erec_minus_enu_108, 0.9184172, 1.52906693, -4.41465559e-01, -4.22222765e-01
enu_erec_minus_enu_109, 0.9184172, 1.52906693, -4.22222765e-01, -4.05446996e-01
enu_erec_minus_enu_110, 0.9184172, 1.52906693, -4.05446996e-01, -3.90151441e-01
enu_erec_minus_enu_111, 0.9184172, 1.52906693, -3.90151441e-01, -3.76336102e-01
enu_erec_minus_enu_112, 0.9184172, 1.52906693, -3.76336102e-01, -3.63507572e-01
enu_erec_minus_enu_113, 0.9184172, 1.52906693, -3.63507572e-01, -3.52159257e-01
enu_erec_minus_enu_114, 0.9184172, 1.52906693, -3.52159257e-01, -3.41304348e-01
enu_erec_minus_enu_115, 0.9184172, 1.52906693, -3.41304348e-01, -3.30942843e-01
enu_erec_minus_enu_116, 0.9184172, 1.52906693, -3.30942843e-01, -3.21568149e-01
enu_erec_minus_enu_117, 0.9184172, 1.52906693, -3.21568149e-01, -3.12193454e-01
enu_erec_minus_enu_118, 0.9184172, 1.52906693, -3.12193454e-01, -3.03805569e-01
enu_erec_minus_enu_119, 0.9184172, 1.52906693, -3.03805569e-01, -2.95911089e-01
enu_erec_minus_enu_120, 0.9184172, 1.52906693, -2.95911089e-01, -2.88016610e-01
enu_erec_minus_enu_121, 0.9184172, 1.52906693, -2.88016610e-01, -2.81108940e-01
enu_erec_minus_enu_122, 0.9184172, 1.52906693, -2.81108940e-01, -2.73707865e-01
enu_erec_minus_enu_123, 0.9184172, 1.52906693, -2.73707865e-01, -2.67293600e-01
enu_erec_minus_enu_124, 0.9184172, 1.52906693, -2.67293600e-01, -2.60879336e-01
enu_erec_minus_enu_125, 0.9184172, 1.52906693, -2.60879336e-01, -2.54465071e-01
enu_erec_minus_enu_126, 0.9184172, 1.52906693, -2.54465071e-01, -2.48544211e-01
enu_erec_minus_enu_127, 0.9184172, 1.52906693, -2.48544211e-01, -2.43116756e-01
enu_erec_minus_enu_128, 0.9184172, 1.52906693, -2.43116756e-01, -2.37689301e-01
enu_erec_minus_enu_129, 0.9184172, 1.52906693, -2.37689301e-01, -2.32261847e-01
enu_erec_minus_enu_130, 0.9184172, 1.52906693, -2.32261847e-01, -2.26834392e-01
enu_erec_minus_enu_131, 0.9184172, 1.52906693, -2.26834392e-01, -2.21900342e-01
enu_erec_minus_enu_132, 0.9184172, 1.52906693, -2.21900342e-01, -2.16966292e-01
enu_erec_minus_enu_133, 0.9184172, 1.52906693, -2.16966292e-01, -2.12525647e-01
enu_erec_minus_enu_134, 0.9184172, 1.52906693, -2.12525647e-01, -2.08085002e-01
enu_erec_minus_enu_135, 0.9184172, 1.52906693, -2.08085002e-01, -2.03150953e-01
enu_erec_minus_enu_136, 0.9184172, 1.52906693, -2.03150953e-01, -1.99203713e-01
enu_erec_minus_enu_137, 0.9184172, 1.52906693, -1.99203713e-01, -1.94763068e-01
enu_erec_minus_enu_138, 0.9184172, 1.52906693, -1.94763068e-01, -1.90322423e-01
enu_erec_minus_enu_139, 0.9184172, 1.52906693, -1.90322423e-01, -1.86375183e-01
enu_erec_minus_enu_140, 0.9184172, 1.52906693, -1.86375183e-01, -1.82427943e-01
enu_erec_minus_enu_141, 0.9184172, 1.52906693, -1.82427943e-01, -1.78480703e-01
enu_erec_minus_enu_142, 0.9184172, 1.52906693, -1.78480703e-01, -1.74533464e-01
enu_erec_minus_enu_143, 0.9184172, 1.52906693, -1.74533464e-01, -1.71079629e-01
enu_erec_minus_enu_144, 0.9184172, 1.52906693, -1.71079629e-01, -1.67132389e-01
enu_erec_minus_enu_145, 0.9184172, 1.52906693, -1.67132389e-01, -1.63678554e-01
enu_erec_minus_enu_146, 0.9184172, 1.52906693, -1.63678554e-01, -1.59731314e-01
enu_erec_minus_enu_147, 0.9184172, 1.52906693, -1.59731314e-01, -1.56277479e-01
enu_erec_minus_enu_148, 0.9184172, 1.52906693, -1.56277479e-01, -1.52823644e-01
enu_erec_minus_enu_149, 0.9184172, 1.52906693, -1.52823644e-01, -1.49369809e-01
enu_erec_minus_enu_150, 0.9184172, 1.52906693, -1.49369809e-01, -1.45915975e-01
enu_erec_minus_enu_151, 0.9184172, 1.52906693, -1.45915975e-01, -1.42955545e-01
enu_erec_minus_enu_152, 0.9184172, 1.52906693, -1.42955545e-01, -1.39501710e-01
enu_erec_minus_enu_153, 0.9184172, 1.52906693, -1.39501710e-01, -1.36047875e-01
enu_erec_minus_enu_154, 0.9184172, 1.52906693, -1.36047875e-01, -1.33087445e-01
enu_erec_minus_enu_155, 0.9184172, 1.52906693, -1.33087445e-01, -1.29633610e-01
